Total rolls,Total time
48,120
24,76
22,76
25,85
44,140
74,190
46,175
33,102
37,70
29,70
41,133
75,155
48,105
48,121
31,90
72,190
47,170
78,220
43,140
53,200
47,150
45,170
46,180
91,240
99,90
59,185
58,110
63,170
79,137
70,190
60,115
74,155
49,132
62,125
73,95
29,93
59,158
41,110
37,110
58,200
4,50
66,109
82,124
109,198
125,260
65,220
94,140
140,265
37,15
31,60
28,60
29,72
30,76
30,65
36,65
12,120
3,15
37,90
26,125
23,95
88,30
31,115
43,115
49,151
43,100
30,50
12,95
46,150
36,94
37,80
47,100
38,60
33,135
41,150
49,135
55,130
44,100
46,170
33,15
66,140
38,80
34,65
71,140
42,130
