6To25,25to40,40+,28in,Total time
0,48,0,0,120
0,0,24,0,76
0,0,22,0,76
0,12,13,0,85
0,29,15,0,140
15,0,11,48,190
3,9,17,17,175
7,4,22,0,102
0,17,20,0,70
5,0,24,0,70
9,1,25,6,133
18,10,6,41,155
8,12,20,8,105
17,12,19,0,121
3,3,25,0,90
3,3,19,47,190
2,9,23,13,170
0,6,22,50,220
0,20,23,0,140
14,13,26,0,200
1,2,44,0,150
1,2,25,17,170
11,0,35,0,180
2,0,14,75,240
2,2,12,83,90
0,8,19,32,185
3,21,24,10,110
6,22,19,16,170
2,21,18,38,137
2,8,16,44,190
0,17,10,33,115
4,0,9,61,155
9,20,15,5,132
3,9,12,38,125
19,2,5,47,95
2,3,16,8,93
5,0,17,37,158
21,0,14,6,110
0,0,23,14,110
9,1,12,36,200
0,0,4,0,50
64,0,2,0,109
68,1,1,12,124
62,5,0,42,198
34,5,3,83,260
13,9,20,23,220
38,7,10,39,140
101,2,9,28,265
4,8,25,0,15
0,9,22,0,60
0,6,22,0,60
0,6,23,0,72
0,13,17,0,76
0,14,16,0,65
0,21,15,0,65
0,0,12,0,120
0,0,0,3,15
0,15,21,1,90
0,0,26,0,125
0,0,23,0,95
0,0,88,0,30
1,7,20,3,115
3,7,30,3,115
3,0,31,15,151
0,0,29,14,100
0,10,20,0,50
0,0,12,0,95
9,18,13,6,150
0,13,23,0,94
10,3,24,0,80
6,16,24,1,100
10,6,22,0,60
9,4,20,0,135
3,5,25,8,150
21,4,24,0,135
25,8,22,0,130
4,12,28,0,100
6,6,30,4,170
2,5,26,0,15
47,3,11,5,140
24,2,2,10,80
24,0,3,7,65
27,9,11,24,140
0,15,27,0,130
