Total rolls,Total time
96,120
48,76
44,76
48,85
88,140
146,190
78,175
60,102
74,70
58,70
82,133
146,155
98,105
96,121
60,90
150,190
120,170
156,220
90,140
106,200
92,150
90,170
92,180
186,240
192,90
116,185
116,110
126,170
158,137
140,190
126,115
148,155
98,132
124,125
146,95
58,93
120,158
78,110
74,110
136,200
24,50
132,109
164,124
218,198
130,220
188,140
37,15
77,60
56,60
58,72
60,76
60,65
72,65
96,120
3,15
114,90
52,125
46,95
44,30
70,115
43,115
98,151
45,100
60,50
74,95
94,150
72,94
74,80
94,100
76,60
66,135
82,150
98,135
128,130
88,100
92,170
33,15
122,140
84,80
35,65
148,140
86,130
